.AXJO,.FTMIB,SIc1,USFFTARGET=,.HSI,IT10YT=RR,.BVSP,EURIBOR3MD=,USD3MFSR=X,.GSPTSE,.FTSES,US5YT=RR,.GDAXI,JPPRIME=,US2YT=RR,USDISC=,JP10YT=RR,.VIX,.SPX,GBBASE=,GBP=,CAD=,CA10YT=RR,.FCHI,NZD=,AUD=,.STOXX50,EU10YT=RR,US30YT=RR,.IBEX,CHF=,HGc1,.NDX,.IXIC,PLc1,GB10YT=RR,.DJI,FR10YT=RR,JPY=,.FTSE,EUR=,GCc1,TED,.TRXFLDUSP,CLc1,US10YT=RR
4853.2,22902.58,17.017,0.25,21370.82,3.908,69041.73,0.644,0.26638,12040.01,5644.63,2.456,6024.28,1.6,0.997,0.75,1.367,16.97,1159.9,0.5,1.5321,1.0092,3.446,3957.89,0.7135,0.9232,2614.97,3.115,4.58,11166.8,1.0538,3.3645,1932.43,2374.41,1607.1,3.993,10741.98,3.423,90.27,5644.63,1.3737,1107.4,24,105.87,80.68,3.693
4874.4,22785.15,16.92,0.25,20933.25,3.937,69386.72,0.643,0.271,11947.98,5642.62,2.409,6012.31,1.6,0.973,0.75,1.35,16.87,1165.81,0.5,1.5245,1.0146,3.487,3938.18,0.7137,0.9204,2614.19,3.129,4.571,11073.5,1.058,3.3725,1949.59,2395.4,1599.8,3.983,10785.89,3.429,90.37,5642.62,1.3606,1099.3,25,105.8,81.25,3.661
4875.8,22687.3,17.012,0.25,20987.78,3.947,68913.4,0.642,0.2775,11967.17,5650.13,2.42,5982.43,1.6,0.981,0.75,1.344,16.35,1174.17,0.5,1.501,1.0172,3.454,3925.44,0.708,0.9153,2598.57,3.109,4.606,10990.8,1.0609,3.3695,1963.2,2415.24,1607.8,3.955,10888.83,3.434,90.53,5650.12,1.3531,1103.5,25,105.24,81.91,3.689
4857.5,22622.81,16.626,0.25,21008.62,3.928,68441.66,0.639,0.28188,12044.54,5644.54,2.587,5987.5,1.6,1.099,0.75,1.37,17.55,1167.72,0.5,1.5096,1.0178,3.468,3928,0.7065,0.9176,2598.85,3.068,4.727,10861.9,1.0579,3.3365,1951.84,2398.76,1587.4,3.923,10836.15,3.408,90.09,5644.54,1.3555,1088.6,24,105.78,80.61,3.851
4882.4,22765.89,16.727,0.25,20778.55,3.905,68682.66,0.637,0.28353,11962.97,5673.63,2.641,6017.27,1.6,1.087,0.75,1.385,18.4,1165.73,0.5,1.5038,1.0158,3.544,3952.55,0.7068,0.9185,2611.2,3.059,4.762,10996.2,1.0567,3.371,1949.15,2397.41,1605.9,3.905,10841.21,3.375,90.41,5673.63,1.3498,1092.7,25,106.57,80.53,3.882
4911.1,22798.7,16.894,0.25,21053.11,3.918,69939.12,0.636,0.28491,11958.11,5677.88,2.594,6039,1.6,1.048,0.75,1.406,17.77,1166.59,0.5,1.4868,1.0262,3.538,3949.81,0.7015,0.9066,2614.9,3.094,4.747,10866.3,1.0731,3.393,1952.63,2395.13,1595.5,3.98,10850.36,3.415,92.21,5677.88,1.3313,1104.2,25,105.9,80,3.851
4890.8,23034.46,17.373,0.25,21237.43,3.931,69959.58,0.635,0.28781,11957.37,5727.65,2.602,6132.95,1.6,1.04,0.75,1.399,17.59,1173.22,0.5,1.4809,1.0245,3.557,4000.48,0.7034,0.9072,2640.62,3.176,4.772,11091.4,1.0737,3.5295,1961.22,2404.36,1627.4,4.023,10895.86,3.482,92.68,5727.65,1.3278,1110.3,25,105.66,82.17,3.868
4896.9,23063.87,17.316,0.25,21374.79,3.914,70371.54,0.636,0.28875,12029.72,5703.02,2.601,6120.05,1.6,1.063,0.75,1.413,17.13,1173.27,0.5,1.49,1.027,3.576,3988.93,0.7031,0.9039,2625.16,3.15,4.748,11071.1,1.0648,3.555,1967.96,2410.69,1618.1,4.028,10907.42,3.476,92.47,5703.02,1.341,1104.5,25,105.7,82.37,3.859
4912,23104.97,17.512,0.25,21239.35,3.914,71136.34,0.635,0.29013,12044.21,5710.66,2.557,6156.85,1.6,1.02,0.75,1.368,17.59,1169.43,0.5,1.4985,1.0208,3.582,4000.66,0.709,0.9172,2630.97,3.133,4.714,11091,1.0623,3.546,1958.34,2397.96,1639.8,3.979,10856.63,3.455,92.44,5710.66,1.3477,1113.3,23,106.34,83.76,3.833
4924.2,23003.34,17.876,0.25,21537,3.884,71095.65,0.635,0.29088,12037.73,5672.32,2.592,6142.45,1.6,1.06,0.75,1.408,17.47,1178.1,0.5,1.5066,1.0196,3.566,3987.41,0.7098,0.9183,2633.74,3.108,4.729,10980.7,1.0662,3.577,1959.56,2402.58,1669.8,3.981,10927.07,3.446,92.78,5672.32,1.3411,1125.1,21,106.39,84.87,3.868
4928.9,22847.97,17.917,0.25,21928.77,3.875,70792.94,0.634,0.2915,12151.06,5679.64,2.701,6153.55,1.6,1.14,0.75,1.416,16.23,1189.44,0.5,1.5182,1.0152,3.563,3974.01,0.7104,0.9166,2629.16,3.098,4.831,10871.3,1.0535,3.6095,1981.95,2436.81,1698.5,3.945,10969.99,3.439,93.46,5679.64,1.351,1135.1,21,106.03,86.84,3.956
4907.7,23206.66,18.185,0.25,21867.04,3.846,71784.77,0.635,0.2915,12156.71,5744.89,2.608,6235.56,1.6,1.056,0.75,1.39,16.62,1182.45,0.5,1.5291,1.0084,3.682,4034.23,0.7079,0.9207,2668.82,3.086,4.746,11067.9,1.0537,3.592,1977.3,2431.16,1717.2,3.923,10897.52,3.398,93.83,5744.89,1.3581,1152.3,20,106.8,85.88,3.863
4956.6,23346.66,18.116,0.25,22208.5,3.91,71417.27,0.638,0.29488,12110.9,5780.35,2.636,6252.21,1.6,1.068,0.75,1.395,16.48,1186.44,0.5,1.5269,1.0014,3.621,4053.94,0.7053,0.9278,2678.6,3.153,4.753,11160.6,1.0685,3.581,1980.73,2436.81,1711.1,4.011,10927.07,3.484,93.75,5780.35,1.3398,1152.2,19,107.9,85.39,3.89
4971.3,23151.3,18.34,0.25,22138.17,3.897,70614.36,0.639,0.29525,12113.53,5762.06,2.628,6222.41,1.6,1.064,0.75,1.406,16.14,1194.37,0.5,1.524,1.0052,3.688,4026.97,0.7071,0.9267,2668.36,3.121,4.739,11191.3,1.0741,3.5845,1994.43,2454.05,1722.2,4.051,10997.35,3.454,93.34,5762.06,1.334,1161.1,20,107.39,84.92,3.882
4944.9,22820.01,18.403,0.25,22103.53,3.891,70792.4,0.64,0.294,12176.84,5712.7,2.586,6171.83,1.6,1.036,0.75,1.387,15.58,1196.48,0.5,1.5273,1.0018,3.65,3978.46,0.7074,0.929,2646.84,3.098,4.694,11076.3,1.0725,3.5595,1995.65,2457.87,1735.3,4.004,11005.97,3.427,93.38,5712.7,1.3358,1161.6,21,107.64,84.34,3.838
4958.4,23103.87,18.238,0.25,22121.43,3.901,71034.85,0.641,0.29781,12148.66,5770.98,2.581,6249.7,1.65,1.052,0.75,1.375,16.2,1197.3,0.5,1.5373,1.0027,3.662,4050.54,0.7157,0.933,2681.76,3.165,4.68,11394.2,1.0651,3.5955,2003.81,2465.99,1711.8,4.041,11019.42,3.463,93.15,5770.98,1.3496,1152.8,23,108.38,84.05,3.82
4986.1,23291.65,18.404,0.25,22157.82,3.881,70524.35,0.642,0.30041,12101.52,5777.65,2.605,6250.69,1.65,1.056,0.75,1.361,15.59,1210.65,0.5,1.5365,1.0027,3.688,4050.5,0.7113,0.9265,2680.09,3.18,4.733,11460.8,1.0596,3.6055,2028.82,2504.86,1730.2,4.054,11123.11,3.489,93.25,5777.65,1.3584,1159,21,108.59,85.84,3.865
4978.6,23195.56,18.424,0.25,21865.26,3.88,69421.35,0.644,0.30281,12204.41,5761.66,2.55,6230.83,1.65,1.016,0.75,1.35,15.89,1211.67,0.5,1.5375,1.0013,3.711,4031.99,0.713,0.9286,2673.94,3.147,4.717,11461,1.0538,3.5965,2038.64,2515.69,1722.3,4.01,11144.57,3.434,93.21,5761.66,1.3606,1159.7,21,108.64,85.51,3.836
4996.8,23480.42,17.669,0.25,21405.17,3.889,69097.58,0.644,0.30375,12211.52,5796.25,2.471,6278.4,1.65,0.959,0.75,1.322,18.36,1192.13,0.5,1.5467,0.9988,3.717,4057.7,0.7147,0.9349,2691.17,3.137,4.673,11503.7,1.0517,3.5115,2012.84,2481.26,1690.8,4.027,11018.66,3.424,93.2,5796.25,1.3651,1136.3,20,109.98,83.24,3.77
5025.1,23539.24,17.725,0.25,21623.38,3.881,69318.44,0.644,0.30438,12070.66,5825.01,2.522,6291.45,1.65,0.988,0.75,1.335,17.34,1197.52,0.5,1.55,1.0018,3.682,4065.65,0.7125,0.935,2711.84,3.126,4.695,11523.5,1.0553,3.4945,2013.53,2480.11,1692.8,4.024,11092.05,3.427,92.99,5825.01,1.3579,1135.2,20,110.09,81.45,3.803
5002.2,23007.22,17.815,0.25,21510.93,3.858,69386.41,0.644,0.30531,12102.97,5743.96,2.54,6180.9,1.65,1.012,0.75,1.34,15.73,1207.17,0.5,1.5358,1.0124,3.657,3986.63,0.7082,0.9243,2660.45,3.086,4.673,11259.7,1.0608,3.512,2023.6,2500.31,1718,3.982,11117.06,3.381,92.15,5743.96,1.3496,1138.6,20,108.37,83.45,3.797
4965.4,22785.78,18.073,0.25,21454.94,3.869,69509.49,0.643,0.30531,12113.53,5727.91,2.498,6162.44,1.65,1,0.75,1.325,16.32,1205.94,0.5,1.5336,1.0145,3.708,3970.47,0.712,0.924,2643.82,3.082,4.621,11199.5,1.0629,3.533,2034.53,2504.61,1737,3.996,11124.92,3.381,92.43,5727.91,1.3484,1148.2,21,108.72,83.68,3.743
4944.9,23271.68,18.006,0.25,21244.49,3.884,66511.1,0.642,0.30719,12134.56,5783.69,2.535,6264.23,1.65,1.033,0.75,1.325,16.47,1208.67,0.5,1.537,0.9981,3.72,4026.65,0.7114,0.9318,2674.72,3.101,4.637,11305.6,1.0683,3.4845,2045.16,2519.07,1742.7,4.022,11134.29,3.398,93.23,5783.69,1.3436,1142.3,22,109.68,83.7,3.77
4970.2,23045.05,18.189,0.25,21261.79,3.897,66655.71,0.642,0.31281,12160.87,5723.43,2.592,6230.38,1.65,1.07,0.75,1.309,16.62,1217.28,0.5,1.5403,0.9995,3.731,3977.67,0.7089,0.9257,2652.55,3.076,4.665,11064.7,1.0703,3.5115,2055.33,2530.15,1740.2,4.015,11204.28,3.38,93.13,5723.43,1.3386,1153.1,24,109.58,85.12,3.817
4942.6,22616.5,18.116,0.25,20949.4,3.919,67978.05,0.644,0.31578,12239.64,5665.33,2.425,6168.72,1.65,0.963,0.75,1.292,22.81,1183.71,0.5,1.5391,1.0002,3.698,3924.65,0.7102,0.9274,2616.79,3.05,4.579,10821.9,1.0778,3.3635,2006.25,2471.47,1718.7,3.982,10991.99,3.373,93.42,5665.33,1.3292,1161.7,25,109.9,82.44,3.693
4903.9,22726,18.107,0.25,20778.92,3.945,67529.73,0.645,0.32063,12146.74,5723.65,2.501,6259.53,1.65,1.032,0.75,1.29,21.08,1191.36,0.5,1.5377,0.9995,3.607,3951.3,0.7168,0.9276,2628.6,3.053,4.632,10918.2,1.0724,3.3675,2007.59,2471.73,1711.4,4.04,11045.27,3.38,93.91,5723.65,1.3383,1171.3,30,110.74,83.22,3.767
4911.9,22036.47,18.549,0.25,21108.59,3.964,67119.41,0.646,0.32781,12076.89,5603.52,2.488,6159.51,1.65,1.004,0.75,1.281,18.44,1206.78,0.5,1.5243,1.0172,3.741,3844.6,0.7108,0.9147,2566.17,2.941,4.593,10480.9,1.0882,3.3335,2042.89,2511.92,1733.7,3.963,11167.32,3.279,93.12,5603.52,1.3163,1168.4,28,107.61,85.17,3.732
4851.2,21501.24,18.611,0.25,20811.36,4.061,64869.32,0.654,0.33781,12200.32,5586.61,2.42,6084.34,1.65,0.964,0.75,1.289,22.05,1186.69,0.5,1.5201,1.0095,3.74,3787,0.7171,0.9251,2543.28,2.971,4.521,10167,1.0848,3.3375,2000.63,2461.19,1745.1,3.99,11008.61,3.318,94.02,5586.61,1.3211,1180.1,27,108.25,86.15,3.659
4818.7,21695.7,18.813,0.25,20763.05,4.025,64914.17,0.659,0.34438,12210.7,5617.84,2.465,6144.91,1.65,1,0.75,1.313,20.19,1202.26,0.5,1.532,1.0058,3.65,3840.62,0.7234,0.927,2563.38,3.009,4.531,10441,1.0842,3.2785,2031.6,2498.74,1728.9,3.996,11151.83,3.343,94.01,5617.84,1.3224,1182.7,31,109.65,86.19,3.692
4822.7,21562.48,17.818,0.25,20327.54,4.043,63414.22,0.663,0.34656,12196.51,5553.29,2.38,6135.7,1.65,0.952,0.75,1.322,23.84,1173.6,0.5,1.5268,1.0174,3.636,3816.99,0.7269,0.9244,2541.22,3.019,4.418,10492.2,1.0773,3.1645,1968.97,2424.25,1685.8,3.914,10926.77,3.3,93.81,5553.29,1.3295,1168.6,30,107.78,82.74,3.598
4788.8,21628.91,17.511,0.25,20133.41,4.004,62870.88,0.665,0.35313,12030.86,5411.11,2.3,6166.92,1.65,0.873,0.75,1.311,24.91,1165.9,0.5,1.5244,1.0106,3.556,3828.46,0.7306,0.9264,2542.66,3.056,4.392,10422.8,1.0855,3.138,1958.26,2402.29,1648.6,3.843,10868.12,3.324,94.54,5411.11,1.3192,1174.6,34,109.19,79.97,3.546
4804.5,20613.25,17.493,0.25,19920.29,4.044,65452.68,0.668,0.36016,11875.13,5341.93,2.164,6006.86,1.65,0.793,0.75,1.313,32.8,1128.15,0.5,1.5135,1.0243,3.542,3689.29,0.7198,0.9082,2466.69,2.952,4.206,9859.1,1.1033,3.1035,1893.75,2319.64,1665.5,3.821,10520.32,3.251,94.62,5341.93,1.298,1196.9,38,106.49,77.11,3.405
4713.3,20351.95,18.429,0.25,20426.64,4.025,64424.89,0.672,0.37359,11842.43,5260.99,2.167,5958.45,1.65,0.82,0.75,1.296,40.95,1110.88,0.5,1.5097,1.0309,3.542,3636.03,0.7177,0.9048,2457.57,2.859,4.27,9635.2,1.1181,3.131,1849.44,2265.64,1664.8,3.808,10380.43,3.153,93.87,5260.99,1.2812,1210,57,105.69,75.11,3.42
4654.4,19483.93,18.53,0.25,20146.51,4.183,65223.63,0.677,0.42813,11692.43,5123.02,2.266,5908.26,1.65,0.868,0.75,1.292,28.84,1159.73,0.5,1.4762,1.0503,3.506,3556.11,0.7105,0.8853,2416.91,2.794,4.412,9352.6,1.1106,3.215,1942.61,2374.67,1691.5,3.837,10785.14,3.143,90.53,5123.02,1.2656,1200.4,52,102.26,76.8,3.541
4551,18846.18,19.272,0.25,20212.49,4.268,64788.22,0.682,0.42125,11947.9,5387.42,2.238,5715.09,1.65,0.84,0.75,1.304,28.32,1155.79,0.5,1.48,1.0425,3.584,3392.59,0.7142,0.888,2327.66,2.785,4.424,9046.1,1.1075,3.194,1940.48,2375.31,1698.8,3.96,10748.26,3.158,91.56,5387.42,1.2759,1219.9,35,100.52,76.37,3.531
4599.8,20971.21,19.64,0.25,20422.46,4.062,63412.47,0.682,0.42281,12000.61,5334.21,2.279,6017.91,1.65,0.867,0.75,1.29,25.52,1171.67,0.5,1.4846,1.0231,3.584,3720.29,0.7222,0.9028,2498.4,2.953,4.478,10351.9,1.1101,3.176,1975.58,2425.02,1745.3,3.864,10896.91,3.223,93.29,5334.21,1.2781,1242.7,39,104.97,75.65,3.571
4630.7,20874.65,19.476,0.25,20145.43,3.981,62866.26,0.682,0.43019,12195.97,5383.45,2.247,6037.71,1.6,0.835,0.75,1.265,26.68,1157.44,0.5,1.4953,1.0214,3.596,3693.2,0.7162,0.8944,2484.01,2.934,4.432,10008.6,1.1112,3.2195,1945.52,2394.36,1737.4,3.843,10782.95,3.218,92.68,5383.45,1.2653,1228.8,36,104.7,74.4,3.537
4612.8,21029.48,19.202,0.25,19715.2,3.939,60841.08,0.682,0.43588,12116.59,5433.73,2.156,6183.49,1.6,0.79,0.75,1.246,31.24,1135.68,0.5,1.4823,1.0192,3.506,3733.87,0.7127,0.8933,2506.17,2.94,4.341,10089.8,1.1104,3.123,1907.1,2346.85,1713.4,3.837,10620.16,3.21,93.17,5433.73,1.2621,1227.4,39,106.32,71.61,3.457
4652.8,20878.83,18.835,0.25,19944.94,3.895,59689.32,0.683,0.44506,12014.97,5262.85,2.2,6251.97,1.6,0.806,0.75,1.255,30.84,1136.94,0.5,1.4605,1.0205,3.435,3731.54,0.7137,0.8951,2513.21,2.94,4.364,9977.5,1.1178,2.923,1915.45,2354.23,1661.2,3.741,10625.83,3.203,92.69,5262.85,1.2528,1227.7,45,105.09,70.08,3.491
4639.8,19781.17,18.855,0.25,19578.98,3.895,58192.08,0.684,0.46,11813,5262.54,2.071,6056.71,1.6,0.733,0.75,1.225,33.55,1120.8,0.5,1.4537,1.0351,3.515,3560.36,0.707,0.8857,2421.43,2.868,4.236,9314.7,1.1331,3.0225,1887.06,2317.26,1688.5,3.724,10510.95,3.127,92.46,5262.54,1.236,1214.3,43,103.07,69.41,3.353
4587.6,19826.83,18.091,0.25,19545.83,3.932,60259.33,0.685,0.46469,11764.51,5307.34,2.124,6066.92,1.6,0.777,0.75,1.23,35.32,1115.05,0.5,1.4476,1.031,3.397,3543.55,0.6971,0.877,2424.79,2.862,4.245,9286.1,1.1307,2.95,1873.42,2298.37,1603.7,3.75,10444.37,3.121,92.58,5307.34,1.2393,1192.6,46,103.16,69.87,3.37
4503.3,20314.21,17.694,0.25,19667.76,3.87,59915.14,0.688,0.4775,11665.77,5158.08,1.986,6155.93,1.6,0.716,0.75,1.259,45.79,1071.59,0.5,1.4301,1.04,3.408,3617.32,0.6907,0.8623,2456.92,2.829,4.093,9627.6,1.1495,2.9355,1800.12,2204.01,1493.8,3.643,10068.01,3.078,92.12,5158.08,1.218,1187.8,43,101.68,68.01,3.216
4458.4,19612.66,17.631,0.25,18985.5,4.036,59184.08,0.69,0.48406,11405.95,5073.13,2.02,5988.67,1.6,0.764,0.75,1.26,40.1,1087.69,0.5,1.4452,1.0432,3.315,3511.67,0.6787,0.8476,2386.73,2.76,4.101,9376.5,1.1493,3.0515,1822.77,2229.04,1499.2,3.555,10193.39,3.008,91.63,5073.13,1.2427,1175.7,47,101.09,70.04,3.236
4404.6,19282.05,17.982,0.25,19196.45,3.952,60190.36,0.692,0.49688,11521.35,5062.93,1.992,5867.88,1.6,0.735,0.75,1.27,38.32,1073.65,0.5,1.435,1.0702,3.365,3432.52,0.6664,0.8155,2343.08,2.696,4.09,9270.5,1.152,3.1365,1815.28,2213.55,1532.5,3.56,10066.57,2.948,89.56,5062.93,1.2465,1193.8,49,97.06,70.21,3.198
4308,19535.91,17.763,0.25,19431.37,3.964,62091.77,0.695,0.50969,11518.08,5069.61,1.975,5829.25,1.6,0.759,0.75,1.239,34.61,1074.03,0.5,1.4466,1.0591,3.255,3430.74,0.6782,0.8324,2326.48,2.665,4.057,9407.3,1.1493,3.0335,1815.68,2210.95,1489.9,3.546,10043.75,2.934,90,5069.61,1.257,1197.8,57,98.49,68.75,3.16
4395.4,19030.49,18.292,0.25,19766.71,3.932,61946.99,0.697,0.53625,11543.9,4940.68,2.019,5805.68,1.6,0.817,0.75,1.267,35.02,1067.95,0.5,1.4419,1.0638,3.255,3430.93,0.6695,0.8241,2330.72,2.653,4.095,9287.9,1.1594,3.0715,1796.47,2195.88,1528.3,3.473,9974.45,2.9,90.13,4940.68,1.2351,1213.3,56,97.28,71.51,3.192
4375.3,18382.71,18.457,0.25,19765.19,3.985,63046.51,0.697,0.53781,11749.12,5038.08,2.198,5670.04,1.6,0.881,0.75,1.295,29.68,1103.06,0.5,1.4422,1.0659,3.381,3331.29,0.6709,0.8289,2285.13,2.578,4.253,9004.4,1.1543,3.1515,1862.71,2277.68,1550.9,3.566,10258.99,2.851,90.3,5038.08,1.2365,1211.9,51,97.27,74.55,3.357
4365.6,18778.41,18.411,0.25,19496.95,4.035,61840.99,0.697,0.53844,11671.44,5195.17,2.099,5758.02,1.6,0.774,0.75,1.272,32.07,1089.41,0.5,1.4365,1.0704,3.301,3408.59,0.6631,0.8209,2328.71,2.632,4.216,9042.6,1.1597,3.097,1852.39,2257.04,1547.4,3.623,10136.63,2.909,89.82,5195.17,1.2167,1212.2,44,96.86,73.97,3.303
4379.2,19631.87,18.54,0.25,19471.8,4.121,62942.91,0.699,0.53625,11762.99,5188.43,2.06,5937.14,1.6,0.77,0.75,1.233,35.54,1070.71,0.5,1.4582,1.048,3.354,3525.31,0.6831,0.8514,2398.85,2.706,4.182,9334.9,1.1501,3.054,1835.04,2222.33,1547.4,3.578,10024.02,2.962,91.06,5188.43,1.2368,1224.8,44,100.11,72.58,3.263
4460.8,19475.88,18.304,0.25,19786.71,4.153,61675.75,0.699,0.53625,11571.97,5163.3,2.14,5946.18,1.6,0.817,0.75,1.235,30.17,1098.38,0.5,1.4463,1.0539,3.287,3515.06,0.6792,0.8473,2389.32,2.676,4.246,9425.5,1.1588,3.032,1879.59,2281.07,1548.4,3.573,10249.54,2.939,91.05,5163.3,1.2267,1220.6,43,98.89,72.86,3.347
4453.4,19543.97,17.92,0.25,19780.07,4.169,61182.92,0.701,0.5375,11780.67,5151.32,2.151,5964.33,1.6,0.821,0.75,1.214,29.46,1102.83,0.5,1.4537,1.0449,3.385,3507.56,0.6804,0.8464,2397.18,2.655,4.273,9359.4,1.1548,2.9385,1895.66,2303.03,1540.9,3.557,10255.28,2.916,91.24,5151.32,1.2305,1208.3,41,97.03,74.61,3.369
4430.6,19279.18,17.29,0.25,19378.15,4.193,61793.64,0.702,0.53781,11811.87,5211.18,1.989,5981.27,1.6,0.73,0.75,1.215,35.48,1064.88,0.5,1.4645,1.0549,3.391,3503.08,0.6752,0.8321,2392.92,2.682,4.133,9299.7,1.1564,2.8125,1832.04,2219.17,1523.3,3.576,9931.97,2.975,91,5211.18,1.2225,1216.2,41,99.55,71.51,